school_number,school_name,high_school,middle_school,elementary_school
5341,Rice El Sch,0,0,1
7624,Crispus Attucks CS,1,0,0
7290,CTC of Lackawanna County,0,0,1
5277,Cumberland Perry Area Career & Technical,0,0,1
1701,Cumberland Valley HS,1,0,0
6714,Eagle View MS,0,1,0
1700,Green Ridge El Sch,0,0,1
5020,Hampden El Sch,0,0,1
1697,Middlesex El Sch,0,0,1
1698,Monroe El Sch,0,0,1
4849,Mountain View MS,0,1,0
1696,Shaull El Sch,0,0,1
1699,Silver Spring El Sch,0,0,1
1695,Sporting Hill El Sch,0,0,1
8438,Winding Creek El Sch,0,0,1
6238,Curwensville Area El Sch,0,0,1
1529,Curwensville Area JSHS,1,0,0
2868,Dallas Intermediate Sch,0,0,1
5150,Dallas MS,0,1,0
2869,Dallas SHS,1,0,0
7596,Wycallis Primary Center,1,0,0
8132,Dallastown Area Intermediate Sch,0,0,1
6598,Dallastown Area MS,0,1,0
4553,Dallastown Area SHS,1,0,0
4546,Dallastown El Sch,0,0,1
4701,Leaders Heights El Sch,0,0,1
4547,Loganville-Springfield El Sch,0,0,1
4551,Ore Valley El Sch,0,0,1
4549,York Twp El Sch,0,0,1
4810,Daniel Boone Area HS,1,0,0
8285,Daniel Boone Area Intermediate Cntr,0,0,1
7544,Daniel Boone Area MS,0,1,0
8007,Daniel Boone Area Primary Ctr,0,0,1
3424,Danville Area MS,0,1,0
3425,Danville Area SHS,1,0,0
8201,Danville Primary Sch,0,0,1
4833,Liberty-Valley El Sch,0,0,1
7627,Danville Ctr Adolescent Female,0,0,1
5278,Dauphin County Technical School,0,0,1
8425,Deep Roots CS,1,0,0
511,Curtisville Pri Ctr,0,0,1
513,Deer Lakes HS,1,0,0
7595,Deer Lakes MS,0,1,0
6695,East Union Intrmd Sch,0,0,1
0,Delaware County IU 25,0,0,1
7058,Delaware County Technical High School-As,0,0,1
7057,Delaware County Technical High School-Fo,0,0,1
7162,Delaware Valley El Sch,0,0,1
5261,Delaware Valley HS,1,0,0
3865,Delaware Valley MS,0,1,0
3864,Dingman-Delaware El Sch,0,0,1
7408,Dingman-Delaware MS,0,1,0
7625,Dingman-Delaware Primary Sch,0,0,1
3866,Shohola El Sch,0,0,1
4351,Derry Area MS,0,1,0
4352,Derry Area SHS,1,0,0
6927,Grandview El Sch,0,0,1
7731,Hershey Early Childhood Ctr,0,0,1
4801,Hershey HS,1,0,0
7186,Hershey Intrmd El Sch,0,0,1
6678,Hershey MS,0,1,0
1749,Hershey Primary El Sch,0,0,1
7775,Discovery CS,1,0,0
2539,Donegal HS,1,0,0
8228,Donegal Intermediate School,0,0,1
7165,Donegal JHS,1,0,0
7786,Donegal Primary School,0,0,1
8229,Dover Area El Sch,0,0,1
4558,Dover Area HS,1,0,0
8475,Dover Area MS,0,1,0
4557,Leib El Sch,0,0,1
7555,North Salem El Sch,0,0,1
4556,Weigelstown El Sch,0,0,1
1391,Beaver Creek El Sch,0,0,1
7266,Bradford Hgts El Sch,0,0,1
1431,Brandywine-Wallace El Sch,0,0,1
7759,Downingtown HS East Campus,1,0,0
1387,Downingtown HS West Campus,1,0,0
7517,Downingtown MS,0,1,0
8174,Downingtown STEM Academy,0,0,1
5011,East Ward El Sch,0,0,1
6476,Lionville El Sch,0,0,1
7516,Lionville MS,0,1,0
8309,Marsh Creek Sixth Grade Center,1,0,0
1432,Pickering Valley El Sch,0,0,1
7265,Shamona Creek El Sch,0,0,1
7990,Springton Manor El Sch,0,0,1
6621,Uwchlan Hills El Sch,0,0,1
6477,West Bradford El Sch,0,0,1
7550,Dr Robert Ketterer CS Inc,1,0,0
2385,C G Johnson El Sch,0,0,1
1541,DuBois Area MS,0,1,0
6156,DuBois Area SHS,1,0,0
6157,Juniata El Sch,0,0,1
