school_number,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
7720,,62.8,43.5,2022
7691,54.7,76.8,44.9,2018
7691,54.3,78.5,42.4,2017
7691,56.3,80.6,48,2016
7691,38,61.4,45.2,2019
7691,29.7,,27.3,2021
7691,22,64.1,34.9,2022
7687,55.8,65.5,27.2,2018
7687,49.4,,,2021
7687,25.5,50.9,23.3,2022
7687,30.1,65.7,33.7,2017
7687,43.5,77.1,32.9,2016
7687,35.3,65.1,37.3,2019
7685,27.7,,,2018
7685,,,,2021
7685,38.8,19.3,0,2019
7681,48.5,,,2021
7681,50,70.5,26.8,2022
7681,50.6,73.1,44.9,2017
7681,50.2,63.9,41.9,2016
7681,,61,51,2019
7678,36.4,58.2,14.8,2018
7678,35.9,60.3,17.5,2017
7678,42.9,62.5,37.2,2016
7678,0,,0,2021
7678,2.4,69.5,13.3,2022
7678,36.7,68.9,35.8,2019
7672,40.4,66.1,45.7,2018
7672,22.7,,,2021
7672,52.6,40.2,16.4,2022
7672,54.6,68,39.1,2017
7672,44.8,64.7,37,2016
7672,14.8,37,42.1,2019
7671,12.9,29.2,4.5,2017
7671,33.1,23.6,10,2016
7666,43,87.5,67.9,2018
7666,68.7,88.2,62.6,2017
7666,57.8,,,2021
7666,17.9,8.6,11,2022
7666,23.2,91.1,68.5,2016
7666,13.6,31.3,61.9,2019
7665,12.7,51.5,23,2018
7665,30.8,49.1,20,2017
7665,11.7,57.8,7.9,2016
7665,13.5,,57.4,2021
7665,,63.2,29,2022
7665,33.1,55.3,30.3,2019
7664,60.5,85.9,42.2,2018
7664,62.1,71.4,50,2017
7664,30.3,86,46.9,2016
7664,50,,24.3,2021
7664,38.1,67.4,2.6,2022
7664,35.6,23.1,54.5,2019
7650,31,52.4,31.7,2019
7650,26.2,24,30.2,2021
7650,27.1,64.8,,2022
7650,36,59.6,35.7,2018
7650,36.7,57.6,32.2,2017
7650,40.3,62.9,36.2,2016
7649,30.7,63.2,44.8,2018
7649,54.2,86.5,55,2017
7649,30,,,2021
7649,15.9,24.6,24.7,2022
7649,51,80,43.8,2016
7649,8.2,64.7,37,2019
7648,,,,2018
7648,,,,2017
7648,,,,2016
7648,,,,2019
7648,,,,2021
7647,,66,37.1,2016
7647,9,,42.2,2019
7647,27.5,62.2,37.7,2018
7647,23.2,,0,2021
7647,26.3,69.3,45.2,2022
7647,26.3,53.6,27.7,2017
7641,22.6,56.4,29.9,2019
7641,54.5,62.1,48,2018
7641,49.8,63.9,46.8,2017
7641,18.1,,38.8,2021
7641,27.7,77.3,,2022
7641,46.3,74.1,44.5,2016
7640,77,79.7,39.2,2018
7640,70.2,76.3,47.5,2017
7640,79.5,74,57.1,2016
7640,68.9,73.3,28.3,2019
7640,65.1,27.3,47.6,2021
7640,31.8,70.1,,2022
7636,34.7,64.1,37.5,2019
7636,51,16.7,,2021
7636,17.1,64.8,23.5,2022
7636,37.3,67.2,32.8,2018
7636,57.1,84.1,41.4,2017
7636,69.9,83.3,43.8,2016
7635,26.9,40,16.7,2018
7635,20.6,55.9,15.2,2017
7635,17.4,31.8,17.4,2016
7635,29.7,54.4,30.6,2019
7635,30.6,17.6,,2021
7635,50,56.9,37.5,2022
