school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
7192,FULTON COUNTY AVTS,,,,2021
2253,SOUTHERN FULTON JSHS,48.8,31.8,63.6,2021
7112,CARMICHAELS AREA HS,31.3,32.3,54.5,2021
5118,WAYNESBURG CENTRAL HS,31.4,22.2,43.3,2021
5282,GREENE COUNTY CTC,,33.3,78.9,2021
2280,JEFFERSON-MORGAN MS/HS,41.9,72.7,43.6,2021
2284,MAPLETOWN JSHS,28.9,,44.8,2021
8442,WEST GREENE JSHS,32.5,,0,2021
2305,HUNTINGDON AREA SHS,46.6,63.6,,2021
6606,HUNTINGDON COUNTY CTC,,,,2021
2308,JUNIATA VALLEY JSHS,22.2,,49,2021
7944,MOUNT UNION AREA SHS,29.7,,44.7,2021
7762,NEW DAY CHARTER SCHOOL,20,,,2021
2313,SOUTHERN HUNTINGDON CO HS/MS,45.8,,14,2021
4706,BLAIRSVILLE SHS,59.5,,64,2021
2353,SALTSBURG MS/HS,37.1,,,2021
2331,HOMER-CENTER JSHS,30.3,,38.2,2021
2325,INDIANA AREA SHS,31.3,8.3,35.7,2021
2339,MARION CENTER AREA JR/SR HS,31.3,,,2021
2345,PENNS MANOR AREA JSHS,24.4,,15.4,2021
2350,PURCHASE LINE JSHS,39,,,2021
2358,UNITED JSHS,36.8,,41.9,2021
2362,BROCKWAY AREA JSHS,37.9,6.7,13.3,2021
6162,BROOKVILLE JSHS,45.3,,39.7,2021
5180,JEFFERSON COUNTY-DUBOIS AVTS,41.4,,16.7,2021
6165,PUNXSUTAWNEY AREA HS,40.2,,26.9,2021
2394,EAST JUNIATA JSHS,35.7,,5,2021
6255,JUNIATA SHS,26.8,15.4,0,2021
5091,ABINGTON HEIGHTS HS,40.8,,23,2021
2420,CARBONDALE AREA JSHS,27.5,,,2021
8312,DUNMORE JSHS,39.1,50,,2021
6404,LAKELAND JSHS,52.8,68,37.2,2021
8304,MID VALLEY SECONDARY CENTER,34.6,,0,2021
2446,NORTH POCONO HS,39,,0,2021
2449,OLD FORGE JSHS,46.2,,14,2021
2496,RIVERSIDE JSHS,29.5,,27.1,2021
6413,SCRANTON HS,42.9,,,2021
2489,WEST SCRANTON HS,43,42.9,28.9,2021
6775,VALLEY VIEW HS,50,79.7,33.8,2021
6290,COCALICO SHS,46.7,74.1,48.1,2021
2515,COLUMBIA HS,37.8,,45.9,2021
2532,CONESTOGA VALLEY SHS,34.8,,31.3,2021
2539,DONEGAL HS,29.1,,43.8,2021
2554,GARDEN SPOT SHS,34.2,,64.1,2021
2562,ELIZABETHTOWN AREA SHS,28.9,66.3,26.7,2021
6293,EPHRATA SHS,39.6,64.3,40.7,2021
2578,HEMPFIELD SHS,32.9,60.5,41.5,2021
7538,LA ACADEMIA PARTNERSHIP CHARTER SCHOOL,6.3,,,2021
2607,LAMPETER-STRASBURG SHS,34.4,8.2,38.9,2021
5285,LANCASTER COUNTY CTC-BROWNSTOWN CAMPUS,,8,46.1,2021
5283,LANCASTER COUNTY CTC-MT JOY CAMPUS,,29.4,2.9,2021
5284,LANCASTER COUNTY CTC-WILLOW ST CAMPUS,,73.7,33.3,2021
2596,MCCASKEY CAMPUS,34.5,,14.3,2021
7922,PHOENIX ACADEMY,0,11.8,,2021
2618,MANHEIM CENTRAL SHS,46.5,15,38,2021
2623,MANHEIM TWP HS,27.1,,38.7,2021
2633,PENN MANOR HS,26.5,47.1,,2021
2649,PEQUEA VALLEY HS,46.2,65.7,26,2021
2658,SOLANCO HS,36.1,,,2021
2663,WARWICK SHS,47.8,,,2021
2675,LINCOLN JSHS,38.9,,,2021
2680,LAUREL HS,42.9,,50,2021
4940,LAWRENCE COUNTY CTC,23,,,2021
2686,MOHAWK SHS,26.8,,19.2,2021
2689,NESHANNOCK JSHS,56.5,,23.2,2021
2704,NEW CASTLE SHS,33,63.5,,2021
2708,SHENANGO HS,52.3,3.2,48.2,2021
2712,UNION AREA HS,50,15.4,34.6,2021
2721,WILMINGTON AREA HS,51.7,,28.2,2021
2725,ANNVILLE CLEONA HS,40.9,,35,2021
4800,CEDAR CREST HS,40.5,36.4,27.3,2021
2740,EASTERN LEBANON CO SHS,53.4,,21.1,2021
5156,LEBANON COUNTY CTC,,,77.8,2021
5155,LEBANON SHS,27.1,,28,2021
2760,NORTHERN LEBANON SHS,36.4,,32.1,2021
2766,PALMYRA AREA SHS,39.5,,40,2021
8412,BUILDING 21 ALLENTOWN,38.1,,30.2,2021
2795,LOUIS E DIERUFF HS,25.9,54.5,,2021
2794,WILLIAM ALLEN HS,23.9,,,2021
2798,CATASAUQUA SHS,35.1,27.3,59.5,2021
2809,EMMAUS HS,37.3,,33.3,2021
8325,EXECUTIVE EDUCATION ACADEMY CHARTER SCHOOL,15.5,,47.7,2021
8371,INNOVATIVE ARTS ACADEMY CS,2,,63.2,2021
5338,LEHIGH CAREER & TECHNICAL INSTITUTE,47.8,,38.6,2021
8125,LINCOLN LEADERSHIP ACADEMY CHARTER SCHOOL,20,71.6,41.2,2021
2818,NORTHERN LEHIGH SHS,46.2,13.3,31.5,2021
2821,NORTHWESTERN LEHIGH HS,35.4,64.3,29.4,2021
2829,PARKLAND HS,43.7,,,2021
8401,ROBERTO CLEMENTE CS,37,,,2021
2833,SALISBURY SHS,61.2,,49.2,2021
2839,SOUTHERN LEHIGH SHS,28.5,12,40,2021
2848,WHITEHALL HS,34.1,,34.1,2021
8446,CRESTWOOD SECONDARY CAMPUS,31.5,,43,2021
2869,DALLAS SHS,45.7,,38.4,2021
5242,GREATER NANTICOKE AREA SHS,39.4,,48.4,2021
2891,HANOVER AREA JSHS,46.7,75,56.3,2021
7348,HAZLETON AREA HS,32.6,52.9,54.2,2021
2924,LAKE-LEHMAN JSHS,40.3,,41,2021
2958,NORTHWEST AREA HS,45.9,,34.1,2021
5058,PITTSTON AREA SHS,40.5,,24.2,2021
5059,WEST SIDE CTC,,,,2021
6632,WILKES-BARRE AREA CTC,,,40.9,2021
3009,ELMER L MEYERS JSHS,43.1,,13.6,2021
3008,G A R MEMORIAL JSHS,35.1,,44.5,2021
3007,JAMES M COUGHLIN JSHS,46,45.8,,2021
8448,WILKES-BARRE AREA SD STEM ACADEMY,42.1,30.8,0,2021
6390,WYOMING AREA SEC CTR,29.8,,30,2021
6391,WYOMING VALLEY WEST SHS,31,27.3,31.3,2021
6364,HUGHESVILLE JSHS,45,,,2021
3034,JERSEY SHORE AREA SHS,40.9,,55.4,2021
4828,LOYALSOCK TWP SHS,26,,30.8,2021
7291,LYCOMING CTC,,,33.3,2021
3040,MONTGOMERY JSHS,49.2,,51.6,2021
3045,MONTOURSVILLE AREA SHS,37.8,,,2021
3048,MUNCY JSHS,54.7,,42.2,2021
3056,SOUTH WILLIAMSPORT AREA JSHS,41.6,0,17.6,2021
6368,WILLIAMSPORT AREA SHS,33.3,4.8,26.1,2021
4691,BRADFORD AREA HS,40.5,,37.5,2021
5245,KANE AREA HS,47.4,,,2021
3107,OTTO-ELDRED JSHS,33.3,17.6,23.5,2021
3111,PORT ALLEGANY JSHS,52.3,1.9,27.9,2021
3117,SMETHPORT AREA JSHS,36.4,,30.1,2021
6122,COMMODORE PERRY JSHS,23.3,,44.2,2021
5248,FARRELL AREA HS/UMS,36.4,,32.4,2021
3137,GREENVILLE JSHS,45.2,,,2021
3145,GROVE CITY AREA HS,39.1,,29,2021
3150,HICKORY HS,37,,27.5,2021
6126,JAMESTOWN AREA JSHS,68,10.6,,2021
7506,KEYSTONE EDUCATION CENTER CS,0,,36,2021
8481,LAKEVIEW MIDDLE-HS,50.9,,32.7,2021
3158,MERCER AREA SHS,48.5,,27.1,2021
6744,MERCER COUNTY CAREER CENTER,,,24.3,2021
3165,REYNOLDS JSHS,44.1,,,2021
8093,SHARON HS,45.5,,10.9,2021
3124,SHARPSVILLE AREA SHS,27.5,,22.9,2021
6129,WEST MIDDLESEX AREA JSHS,48.4,,2.1,2021
8187,MIFFLIN CO HS,43.5,,22.5,2021
7641,EAST STROUDSBURG SHS NORTH,18.1,,38.8,2021
6935,EAST STROUDSBURG SHS SOUTH,31.4,,21.7,2021
7866,EVERGREEN COMMUNITY CS,58.3,,39.6,2021
6674,MONROE CAREER & TECH INST,,,11.8,2021
3210,PLEASANT VALLEY HS,40.1,,32.4,2021
3216,POCONO MOUNTAIN EAST HS,46.8,,27.8,2021
7738,POCONO MOUNTAIN WEST HS,48.7,,5.3,2021
3224,STROUDSBURG HS,41.6,,36.5,2021
3241,ABINGTON SHS,30.9,30.8,18,2021
4967,CENTRAL MONTCO TECHNICAL HIGH SCHOOL,,,16.1,2021
3260,CHELTENHAM HS,28.4,,39.3,2021
3333,PLYMOUTH-WHITEMARSH SHS,30,,42.4,2021
4822,EASTERN CENTER FOR ARTS & TECHNOLOGY,,,20.3,2021
3272,HATBORO-HORSHAM SHS,26.2,,27,2021
8049,JENKINTOWN MIDDLE/HIGH SCHOOL,31.1,,33.7,2021
3296,HARRITON SHS,33.9,,28.3,2021
3295,LOWER MERION HS,40.3,35.1,,2021
4960,LOWER MORELAND HS,39.3,15.4,,2021
3305,METHACTON HS,38.8,,7.5,2021
6729,NORRISTOWN AREA HS,28,55.3,43.4,2021
6998,ROOSEVELT ALTERN SCH,6.1,,51.2,2021
4958,NORTH MONTCO TECH CAREER CENTER,,59.7,41.3,2021
5345,NORTH PENN SHS,38.4,,32.1,2021
7687,PENNSYLVANIA VIRTUAL CS,49.4,,,2021
3328,PERKIOMEN VALLEY HS,49.8,,,2021
3338,POTTSGROVE SHS,40,6.3,41.9,2021
3348,POTTSTOWN SHS,31.7,23.3,39.7,2021
3354,SOUDERTON AREA SHS,47.9,,44.7,2021
3376,SPRINGFIELD TWP HS,33.9,43.1,61.8,2021
3367,SPRING-FORD SHS 9-12 CTR,32,,0,2021
5078,UPPER DUBLIN HS,34.7,,30.2,2021
3395,UPPER MERION HS,35.4,,38.6,2021
3401,UPPER MORELAND HS,32.6,55.7,66,2021
5081,UPPER PERKIOMEN HS,43.5,,36.4,2021
4959,WESTERN MONTGOMERY CTC,,,,2021
3247,WISSAHICKON SHS,42.9,,36.7,2021
3425,DANVILLE AREA SHS,43,,5.6,2021
3434,BANGOR AREA HS,38.3,,19.5,2021
4957,FREEDOM HS,37.2,60.4,40.6,2021
3465,LIBERTY HS,23.1,,,2021
5286,BETHLEHEM AVTS,,64.7,14.3,2021
5109,CAREER INSTITUTE OF TECHNOLOGY,,,,2021
3482,EASTON AREA HS,35.7,,9.1,2021
7681,LEHIGH VALLEY ACADEMY REGIONAL CS,48.5,,,2021
7634,LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,42.1,,,2021
3495,NAZARETH AREA HS,46.7,,19.6,2021
3505,NORTHAMPTON AREA HS,37.6,33.3,,2021
6439,PEN ARGYL AREA HS,37.1,,,2021
5352,SAUCON VALLEY SHS,32.4,,,2021
3522,WILSON AREA HS,34.7,55.2,28.1,2021
3532,LINE MOUNTAIN HS,39.2,,47.6,2021
3541,MILTON HS,50.8,,38.2,2021
6936,MOUNT CARMEL AREA HS,25.8,,,2021
7893,SHAMOKIN AREA HS,26.5,,,2021
3569,SHIKELLAMY HS,32.6,,,2021
5103,WARRIOR RUN HS,56.6,,36.2,2021
6341,GREENWOOD HS,55.8,,0,2021
7930,NEWPORT HS,46.2,,,2021
3589,SUSQUENITA HS,48.9,,32.4,2021
3596,WEST PERRY SHS,35.9,,35.3,2021
8148,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,,,51.4,2021
7750,BELMONT CHARTER SCHOOL,16.1,,,2021
7981,BOYS LATIN OF PHILADELPHIA CS,20.8,,36.4,2021
7510,COMMUNITY ACADEMY OF PHILADELPHIA CS,13.6,,,2021
7665,ESPERANZA ACADEMY CHARTER SCHOOL,13.5,,57.4,2021
8216,ESPERANZA CYBER CS,2.3,,35.1,2021
7744,FIRST PHILADELPHIA PREPARATORY CHARTER SCHOOL,12.6,,18.6,2021
7666,FRANKLIN TOWNE CHS,57.8,,,2021
7586,FREIRE CS,18.6,,,2021
7542,IMHOTEP INSTITUTE CHS,0,,0,2021
8358,KIPP DUBOIS CHARTER SCHOOL,7.6,,,2021
7672,MARIANA BRACETTI ACADEMY CS,22.7,,,2021
7777,MARITIME ACADEMY CHARTER SCHOOL,0,,0,2021
7574,MAST COMMUNITY CHARTER SCHOOL,36.3,,33.8,2021
7678,MASTERY CHS - LENFEST CAMPUS,0,,0,2021
7588,MASTERY CS - HARDY WILLIAMS,36.4,,51.6,2021
7910,MASTERY CS - THOMAS CAMPUS,24.4,,40.5,2021
7909,MASTERY CS -SHOEMAKER CAMPUS,35.1,,39.4,2021
8207,MASTERY CS-GRATZ CAMPUS,19.2,,,2021
7961,MASTERY CS-PICKETT CAMPUS,27.3,,,2021
7582,MATH CIVICS AND SCIENCES CS,6.9,,,2021
7546,MULTICULTURAL ACADEMY CS,27.1,26.1,0,2021
7649,NEW FOUNDATIONS CS,30,,,2021
8205,OLNEY CHARTER HIGH SCHOOL,1.4,,3.6,2021
7685,PEOPLE FOR PEOPLE CS,,,,2021
7587,PHILADELPHIA ACADEMY CS,45.3,,8.8,2021
7904,ACADEMY AT PALUMBO,43,,9.1,2021
8039,ARTS ACADEMY AT BENJAMIN RUSH,33.3,,38.7,2021
3847,BARTRAM JOHN - MAIN,2.2,,,2021
7070,BODINE WILLIAM W HS,40.5,,,2021
8332,BUILDING 21,6.8,43.2,21,2021
7023,CARVER HS,57.2,,14,2021
3848,CENTRAL HS,32.3,13.2,,2021
7905,CONSTITUTION HS,21,,,2021
6996,CREATIVE AND PERFORMING ARTS,29.6,,9,2021
3841,DOBBINS AVT HS,1,38.5,,2021
3849,EDISON HS/FAREIRA SKILLS,0.8,,0,2021
3816,FELS SAMUEL HS,6.8,,,2021
3850,FRANKFORD HS,4,,,2021
3851,FRANKLIN BENJAMIN HS,5.8,,,2021
6822,FRANKLIN LC,34.6,,,2021
3818,FURNESS HORACE HS,15.3,,,2021
7664,GAMP,50,,24.3,2021
3843,GIRLS HS,28.5,,22.2,2021
7229,HILL FREEDMAN WORLD ACADEMY,25.3,,10,2021
7852,KENSINGTON CREATIVE & PERFORMING ARTS HS,2.1,4.4,1.4,2021
7855,KENSINGTON HEALTH SCIENCES,2,,12.8,2021
8388,KENSINGTON HS,5.3,54.1,,2021
6675,KING MARTIN LUTHER HS,1.4,,,2021
7811,LANKENAU HS,12.4,,34.7,2021
3845,LINCOLN HS,6,,15.1,2021
3842,MASTBAUM JULES E AVTS,2.9,,16.2,2021
3808,MASTERMAN JULIA R SEC SCH,15.8,,,2021
7815,MOTIVATION HS,4.9,,18.8,2021
3855,NORTHEAST HS,17.1,,4.2,2021
3857,OVERBROOK HS,0,,23.6,2021
7782,PARKWAY CENTER CITY MIDDLE COLLEGE,45.7,,,2021
6548,PARKWAY NORTHWEST,11.5,,44.7,2021
7808,PARKWAY WEST,7.6,,,2021
7780,PAUL ROBESON HS FOR HUMAN SERVICES,9.7,,44,2021
8293,PENN TREATY SCH,14.6,,,2021
8385,PHILADELPHIA LEARNING ACADEMY - NORTH,,,,2021
8386,PHILADELPHIA LEARNING ACADEMY - SOUTH,0,,16.7,2021
7850,PHILADELPHIA MILITARY ACAD AT ELVERSON,6,,20,2021
7813,RANDOLPH A. PHILIP AVT HS,0,,40.2,2021
3844,ROXBOROUGH HS,2.3,,28,2021
3861,SAUL W B AGRICULTURAL SCHOOL,22.1,,42.5,2021
7245,SAYRE WILLIAM L MS,1.5,,,2021
7903,SCHOOL OF THE FUTURE,2.2,,37.5,2021
7906,SCIENCE LEADERSHIP ACADEMY,29.2,,,2021
3859,SOUTH PHILADELPHIA HS,6,,47.5,2021
7072,SWENSON ARTS & TECHNOLOGY HS,17.8,,29.4,2021
8331,THE LINC,3.4,,30.8,2021
8330,THE SCIENCE LEADERSHIP ACADEMY AT BEEBER,33,,62.5,2021
8298,THE SD OF PHILADELPHIA VIRTUAL ACADEMY,5.6,,19.6,2021
8329,THE U SCHOOL: INNOVATIVE LAB,5.3,,58.8,2021
8328,THE WORKSHOP SCHOOL,,,,2021
8440,VAUX HS: A BIG PICTURE SCHOOL,1.6,,47.7,2021
6527,WASHINGTON GEORGE HS,15.5,,,2021
3860,WEST PHILADELPHIA HS,0,,32.4,2021
3728,WIDENER MEMORIAL SCH,,,,2021
7737,PHILADELPHIA ELECTRICAL & TECH CHS,4.8,,35.1,2021
7647,PHILADELPHIA PERFORMING ARTS CS,23.2,,0,2021
7540,PREPARATORY CS OF MATH SCIENCE TECH AND CAREERS,6.3,,28.6,2021
8083,SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,10,,39.4,2021
8126,TACONY ACADEMY CHARTER SCHOOL,16.5,,50,2021
8359,TECH FREIRE CS,8.8,,,2021
8195,UNIVERSAL AUDENRIED CHARTER SCHOOL,20.5,,,2021
5261,DELAWARE VALLEY HS,52.5,,,2021
4310,WALLENPAUPACK AREA HS,41.5,,,2021
6222,AUSTIN AREA JSHS,,,,2021
3869,COUDERSPORT AREA JSHS,72.7,,,2021
6223,GALETON AREA SCH,56.3,,,2021
3875,NORTHERN POTTER JSHS,38.5,,,2021
3877,OSWAYO VALLEY HS,,,,2021
3891,BLUE MOUNTAIN HS,46.6,,31.9,2021
8161,GILLINGHAM CHARTER SCHOOL,,,,2021
6583,MINERSVILLE AREA JSHS,26.4,,44.1,2021
3883,NORTH SCHUYLKILL JSHS,23.9,,29.3,2021
3910,PINE GROVE AREA HS,38,,26.4,2021
3924,POTTSVILLE AREA HS,43.2,,25,2021
5264,SCHUYLKILL HAVEN SHS,58.6,,45.5,2021
6587,SCHUYLKILL TECHNOLOGY CENTERS-NORTH CAMPUS,,,37.5,2021
3940,SHENANDOAH VALLEY JSHS,43.5,,,2021
5070,TAMAQUA AREA SHS,26.7,,,2021
3957,TRI-VALLEY JSHS,34.2,,14.3,2021
3914,WILLIAMS VALLEY JSHS,24,,,2021
3962,MIDD-WEST HS,44,,32,2021
3969,SELINSGROVE AREA HS,45.2,,,2021
6207,BERLIN BROTHERSVALLEY SHS,50,,48.8,2021
3978,CONEMAUGH TWP AREA MS/SHS,37.3,,29.6,2021
3994,MEYERSDALE AREA HS,30.2,,59.6,2021
3988,NORTH STAR HS,45.2,,,2021
6210,ROCKWOOD AREA JSHS,41.9,,38.3,2021
4002,SALISBURY-ELK LICK JSHS,66.7,,55.1,2021
4006,SHADE JSHS,61.5,,51.6,2021
6800,SHANKSVILLE-STONYCREEK HS,51.9,,31.6,2021
8274,SOMERSET AREA JR-SR HS,33.3,,,2021
6660,SOMERSET COUNTY TECHNOLOGY CENTER,,,24.3,2021
6216,TURKEYFOOT VALLEY AREA JSHS,30,,36.9,2021
4026,WINDBER AREA HS,52.8,,42.5,2021
4030,SULLIVAN CO JSHS,45.5,,30,2021
4034,BLUE RIDGE HS,50,,35.6,2021
6418,ELK LAKE JSHS,41.5,,30,2021
6419,FOREST CITY REGIONAL HS,13.6,,28.7,2021
4044,MONTROSE AREA JSHS,40,,37.4,2021
4049,MOUNTAIN VIEW JSHS,37,,,2021
4054,SUSQUEHANNA COMMUNITY JSHS,30.6,,34.5,2021
7106,SUSQUEHANNA COUNTY CTC,,,,2021
4058,COWANESQUE VALLEY JSHS,55.9,,,2021
6373,WILLIAMSON SHS,33.8,,27.2,2021
4064,NORTH PENN-LIBERTY JSHS,28.9,,38.8,2021
4068,NORTH PENN-MANSFIELD JSHS,22.4,,23.8,2021
4080,WELLSBORO AREA HS,39.7,,33,2021
4085,LEWISBURG HS,16.8,,14.3,2021
4091,MIFFLINBURG AREA SHS,37.6,,30.5,2021
5355,SUN AREA TECHNICAL INSTITUTE,,,60,2021
4098,CRANBERRY AREA JSHS,54.7,,33.3,2021
4106,FRANKLIN AREA JSHS,55.1,,38.5,2021
4931,OIL CITY SHS,43.6,,33.3,2021
1668,TITUSVILLE SHS,45.2,,36.8,2021
4126,ROCKY GROVE JSHS,41.5,,43.7,2021
7833,TIDIOUTE COMMUNITY CS,27.3,,40.9,2021
4143,EISENHOWER M/HS,53.3,,34.1,2021
4146,SHEFFIELD M/HS,60,,,2021
4149,WARREN AREA HS,43.8,,,2021
4135,YOUNGSVILLE MS/HS,61.5,,32,2021
4165,AVELLA AREA JSHS,34.5,,17.6,2021
4188,BENTWORTH SHS,26.8,,9.5,2021
4181,BETHLEHEM-CENTER SHS,70.4,,14.3,2021
4195,BURGETTSTOWN MS/HS,41.3,,43.3,2021
4203,CALIFORNIA AREA SHS,41,,46.7,2021
4217,CANON-MCMILLAN SHS,42.6,,29.9,2021
4715,CHARLEROI AREA HS,50.9,,40,2021
4235,CHARTIERS-HOUSTON JSHS,36.2,,39.1,2021
4242,FORT CHERRY JSHS,29.4,,26.1,2021
4249,MCGUFFEY HS,33.7,,32.4,2021
6635,MON VALLEY CTC,,,39.8,2021
5083,PETERS TWP HS,32.8,,38.3,2021
7019,RINGGOLD SHS,41.3,,35.1,2021
6012,TRINITY SHS,49.2,,39.8,2021
4286,WASHINGTON HS,24.1,,31.6,2021
6609,WESTERN AREA CTC,,,17.3,2021
4295,HONESDALE HS,35.2,,50.3,2021
6704,WESTERN WAYNE HS,44,,32.7,2021
4930,BELLE VERNON AREA HS,28.8,,,2021
4340,BURRELL HS,38.8,,,2021
4352,DERRY AREA SHS,56.7,,,2021
7550,DR ROBERT KETTERER CS INC,,,,2021
6174,EASTERN WESTMORELAND CTC,,,,2021
4360,FRANKLIN REGIONAL SHS,26.1,,,2021
4845,GREATER LATROBE SHS,31.4,,,2021
4373,GREENSBURG-SALEM HS,20,,,2021
4404,HEMPFIELD AREA SHS,37.3,,,2021
8421,JEANNETTE HS,30.8,,,2021
4431,KISKI AREA HS,40.3,,,2021
4442,LIGONIER VALLEY HS,43.8,,,2021
6181,MONESSEN SHS,9.1,,,2021
4458,MOUNT PLEASANT AREA HS,37.4,,,2021
8323,VALLEY JSHS,28.8,,,2021
4717,NORWIN SHS,33.7,,,2021
6648,PENN TRAFFORD HS,43.8,,,2021
6191,SOUTHMORELAND SHS,39.8,,,2021
4735,YOUGH SHS,52.6,,,2021
4528,LACKAWANNA TRAIL JSHS,35.3,,,2021
5271,TUNKHANNOCK HS,26.6,,,2021
4545,CENTRAL YORK HS,35,,,2021
4553,DALLASTOWN AREA SHS,36,,,2021
4558,DOVER AREA HS,44.1,,,2021
4564,EASTERN YORK HS,32.8,,,2021
4571,HANOVER SHS,52.4,,,2021
4577,NORTHEASTERN SHS,39.4,,,2021
6345,NORTHERN HS,37,,,2021
4598,RED LION AREA SHS,41.8,,,2021
4602,KENNARD-DALE HS,53.4,,,2021
4608,SOUTH WESTERN SHS,34.5,,,2021
4614,SUSQUEHANNOCK HS,50.9,,,2021
4623,SPRING GROVE AREA HS,48.3,,,2021
1732,CEDAR CLIFF HS,36.3,,,2021
4704,RED LAND SHS,37.1,,,2021
6705,WEST YORK AREA HS,32.6,,,2021
8131,YORK ACADEMY REGIONAL CHARTER SCHOOL,52.6,,,2021
4647,WILLIAM PENN SHS,14.9,,,2021
5168,YORK CO SCHOOL OF TECHNOLOGY,39.9,,,2021
4658,YORK SUBURBAN SHS,34.9,,,2021
3,BERMUDIAN SPRINGS HS,37.9,21.4,30.6,2022
17,NEW OXFORD SHS,16,54.8,31.3,2022
6269,FAIRFIELD AREA HS,48.6,56.7,31.7,2022
6271,GETTYSBURG AREA HS,12.9,52.3,35.1,2022
14,LITTLESTOWN SHS,54.5,64.1,25,2022
21,BIGLERVILLE HS,19,55.4,35,2022
5273,A W BEATTIE CAREER CENTER,,,,2022
29,SPRINGDALE JSHS,54.2,56.3,22.2,2022
5199,AVONWORTH HS,29.5,59.5,21.3,2022
50,BALDWIN SHS,15.8,67,17.1,2022
62,BETHEL PARK HS,36.4,70.4,45.8,2022
70,BRENTWOOD SHS,37.5,62,21.9,2022
79,CARLYNTON JSHS,42.9,57.1,,2022
6706,CHARTIERS VALLEY HS,52.6,54.5,,2022
7727,CITY CHS,20.5,53.7,28.4,2022
8094,CLAIRTON MS/HS,,24.1,,2022
8087,CORNELL HS,28.6,40,20,2022
513,DEER LAKES HS,26.3,69.8,,2022
8340,EAST ALLEGHENY JSHS,11,37,9.7,2022
144,ELIZABETH FORWARD SHS,61.4,71.9,,2022
5016,FORBES ROAD CTC,,,,2022
156,FOX CHAPEL AREA HS,13,61.5,43.4,2022
170,GATEWAY SHS,19.1,38.6,27.5,2022
5190,HAMPTON HS,29.8,56.6,32.6,2022
5153,HIGHLANDS SHS,32.8,57.7,20,2022
5112,KEYSTONE OAKS HS,5.6,64.6,,2022
6105,MCKEESPORT AREA SHS,26.2,29.8,20.7,2022
5017,MONTOUR HS,29.9,57.1,35.7,2022
4951,MOON SHS,47,61.5,36.8,2022
254,MT LEBANON SHS,34.7,68.5,45.9,2022
8305,NORTH ALLEGHENY HS,38.8,64.5,35.7,2022
7101,NORTH HILLS SHS,37.1,61.2,26.1,2022
53,NORTHGATE MSHS,53.3,56.7,51.8,2022
5274,PARKWAY WEST CTC,,,,2022
8308,PASSPORT ACADEMY CS,,,,2022
309,PENN HILLS SHS,50.6,39.6,7.9,2022
7821,PENNSYLVANIA DISTANCE LEARNING CS,15.6,43.3,5.1,2022
315,PINE-RICHLAND HS,29.6,57.9,42.9,2022
8203,ACADEMY AT WESTINGHOUSE,0,15.2,4.8,2022
409,PITTSBURGH ALLDERDICE HS,41.6,58.9,16.7,2022
6915,PITTSBURGH BRASHEAR HS,27.9,26.3,3.1,2022
8106,PITTSBURGH CAPA 6-12,52.9,63.1,,2022
412,PITTSBURGH CARRICK HS,22.9,50,8.6,2022
8110,PITTSBURGH MILLIONES 6-12,,12.9,,2022
8105,PITTSBURGH OBAMA 6-12,57.7,56.6,,2022
6047,PITTSBURGH OLIVER,,,,2022
8300,PITTSBURGH ONLINE ACADEMY,,,0,2022
416,PITTSBURGH PERRY HS,,25.4,,2022
8107,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,62.1,62,11.6,2022
435,PLUM SHS,26.9,51.4,14.8,2022
8129,PROPEL CS-BRADDOCK HILLS,,30.2,15.8,2022
7772,PROPEL CS-HOMESTEAD,,48.3,,2022
7832,PROPEL CS-MONTOUR,,20.5,,2022
448,QUAKER VALLEY HS,26.9,76.2,35.7,2022
6928,RIVERVIEW JSHS,43.2,55.6,31.8,2022
460,SHALER AREA HS,46.2,62.4,,2022
8459,SOUTH ALLEGHENY HS,50,56.1,20.7,2022
470,SOUTH FAYETTE TWP HS,28.6,66,,2022
467,SOUTH PARK SHS,15.2,52.4,32.6,2022
6113,STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION,,,4.7,2022
196,STEEL VALLEY SHS,27.1,,,2022
477,STO-ROX JSHS,4.5,56.8,,2022
7846,THE NEW ACADEMY CS,,16.4,0,2022
492,UPPER SAINT CLAIR HS,21.5,,25,2022
7562,URBAN PATHWAYS 6-12 CS,,61.6,,2022
509,WEST ALLEGHENY SHS,37.6,28.6,0,2022
523,THOMAS JEFFERSON HS,27.4,67.4,12,2022
536,WEST MIFFLIN AREA HS,38.2,67.1,11.1,2022
8392,WESTINGHOUSE ARTS ACADEMY CS,30.8,38,,2022
107,WOODLAND HILLS HS,28.8,60.3,51.3,2022
2320,APOLLO-RIDGE HS,62.5,36.1,46.7,2022
8342,ARMSTRONG JSHS,32,69.8,41.2,2022
7640,WEST SHAMOKIN JSHS,31.8,70.1,,2022
594,FREEPORT AREA SHS,20.6,71.2,30,2022
7923,LEECHBURG AREA HS,42.9,66.4,,2022
4807,LENAPE TECH,19.6,60.9,0,2022
8086,ALIQUIPPA JSHS,0,48.3,,2022
6555,AMBRIDGE AREA HS,38.5,15.4,,2022
