school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
5012,COATESVILLE AREA SHS,32.4,54,27.2,2018
7628,COLLEGIUM CS,44.7,61.2,34.1,2018
7759,DOWNINGTOWN HS EAST,57.8,77.3,58.3,2018
1387,DOWNINGTOWN HS WEST,52.6,73.2,47.8,2018
7517,DOWNINGTOWN MS,,,,2018
8174,DOWNINGTOWN STEM ACADEMY,18.9,48.4,3.7,2018
1424,GREAT VALLEY HS,29.2,65.3,36.8,2018
6482,KENNETT HS,35.3,62.7,38.7,2018
1414,OCTORARA AREA JSHS,45.5,68.2,38.1,2018
1406,OWEN J ROBERTS HS,58,73,43.2,2018
1420,OXFORD AREA HS,42.9,58.1,38.9,2018
7819,PENNSYLVANIA LEADERSHIP CHARTER,37.1,63.5,34.7,2018
1426,PHOENIXVILLE HS,38.8,66.9,41.5,2018
7636,RENAISSANCE ACAD CS,37.3,67.2,32.8,2018
1423,CONESTOGA SHS,28.5,68.4,32.5,2018
1443,UNIONVILLE HS,33,61.7,36.1,2018
6734,EAST SHS,43.8,67.3,34.9,2018
1453,HENDERSON SHS,53,70.4,37.9,2018
7894,WEST CHESTER BAYARD RUSTIN HS,30,68.4,26.4,2018
4664,ALLEGHENY-CLARION VA,51.7,77.6,43.1,2018
1475,CLARION AREA JSHS,49.3,62.7,43.3,2018
6909,CLARION COUNTY CAREER CENTER,,,,2018
1480,CLARION-LIMESTONE AR,55.6,88.9,59.3,2018
1486,KEYSTONE JSHS,56.2,69.4,45.2,2018
1489,NORTH CLARION CO JSH,57.4,74.5,66,2018
1495,REDBANK VALLEY HS,31.4,71.3,47.1,2018
1501,UNION HS,61.3,71,58.1,2018
6236,CLEARFIELD AREA JSHS,47.7,62.8,37.7,2018
5276,CLEARFIELD CO CTC,,,,2018
1529,CURWENSVILLE AREA JSHS,47.8,67.6,53.7,2018
6156,DUBOIS AREA SHS,56.7,70.8,43.3,2018
5219,GLENDALE JSHS,64.1,81.3,46.9,2018
8316,HARMONY AREA JSHS,50,81.3,50,2018
1550,MOSHANNON VALLEY JSH,41.5,64.6,43.1,2018
1560,PHILIPSBURG-OSCEOLA HS,54.1,52.6,41.4,2018
1566,WEST BRANCH AREA JSH,33.7,55.9,43,2018
6241,BUCKTAIL AREA HIGH SCHOOL,25.8,46.9,18.8,2018
7589,CENTRAL MOUNTAIN HIGH SCHOOL,35.9,58.6,39.4,2018
7635,SUGAR VALLEY RURAL CS,26.9,40,16.7,2018
1595,BENTON MIDDLE-SR HIGH SCHOOL,61.1,74.3,48.6,2018
1605,BERWICK AREA HS,54.2,68.8,39.4,2018
